iter	Passed	Remaining
1181	5304	17132
1182	5309	17130
1183	5312	17123
1184	5317	17118
1185	5321	17111
1186	5325	17106
1187	5329	17099
1188	5333	17094
1189	5337	17087
1190	5341	17082
1191	5345	17075
1192	5349	17069
1193	5352	17062
1194	5356	17056
1195	5360	17050
1196	5364	17044
1197	5368	17039
1198	5373	17033
1199	5376	17026
1200	5380	17020
1201	5384	17014
1202	5388	17007
1203	5392	17000
1204	5395	16992
1205	5400	16988
1206	5404	16982
1207	5408	16976
1208	5412	16970
1209	5416	16965
1210	5420	16958
1211	5424	16953
1212	5428	16946
1213	5443	16976
1214	5447	16971
1215	5452	16965
1216	5456	16961
1217	5460	16956
1218	5464	16950
1219	5469	16946
1220	5473	16940
1221	5478	16936
1222	5483	16934
1223	5487	16927
1224	5493	16928
1225	5497	16922
1226	5502	16918
1227	5506	16912
1228	5510	16908
1229	5515	16904
1230	5518	16897
1231	5523	16892
1232	5527	16886
1233	5531	16882
1234	5535	16874
1235	5539	16870
1236	5543	16863
1237	5547	16858
1238	5551	16852
1239	5555	16846
1240	5560	16841
1241	5564	16836
1242	5569	16832
1243	5573	16827
1244	5577	16823
1245	5581	16817
1246	5587	16816
1247	5592	16812
1248	5596	16806
1249	5600	16802
1250	5604	16795
1251	5609	16791
1252	5614	16789
1253	5618	16784
1254	5623	16781
1255	5627	16776
1256	5632	16771
1257	5636	16765
1258	5640	16761
1259	5644	16755
1260	5648	16749
1261	5653	16745
1262	5657	16740
1263	5662	16735
1264	5666	16730
1265	5670	16726
1266	5676	16726
1267	5680	16720
1268	5685	16716
1269	5690	16712
1270	5694	16707
1271	5699	16704
1272	5703	16697
1273	5707	16692
1274	5713	16692
1275	5717	16687
1276	5722	16682
1277	5726	16676
1278	5731	16673
1279	5734	16666
1280	5739	16661
1281	5744	16659
1282	5748	16654
1283	5752	16649
1284	5757	16644
1285	5762	16641
1286	5766	16637
1287	5770	16630
1288	5774	16626
1289	5778	16619
1290	5783	16614
1291	5787	16609
1292	5791	16604
1293	5795	16597
1294	5799	16592
1295	5804	16588
1296	5807	16581
1297	5811	16575
1298	5815	16570
1299	5820	16566
1300	5824	16559
1301	5828	16554
1302	5832	16548
1303	5836	16542
1304	5839	16535
1305	5845	16532
1306	5849	16528
1307	5853	16522
1308	5858	16519
1309	5863	16515
1310	5867	16511
1311	5873	16510
1312	5877	16505
1313	5882	16501
1314	5886	16496
1315	5891	16493
1316	5896	16489
1317	5900	16482
1318	5905	16479
1319	5908	16473
1320	5913	16468
1321	5917	16463
1322	5921	16458
1323	5926	16453
1324	5930	16447
1325	5935	16446
1326	5939	16439
1327	5943	16435
1328	5948	16431
1329	5952	16425
1330	5957	16421
1331	5962	16420
1332	5968	16419
1333	5973	16417
1334	5977	16411
1335	5982	16406
1336	5986	16401
1337	5990	16395
1338	5994	16390
1339	5998	16384
1340	6003	16381
1341	6007	16375
1342	6012	16372
1343	6017	16369
1344	6022	16366
1345	6027	16362
1346	6032	16359
1347	6037	16355
1348	6042	16352
1349	6047	16350
1350	6051	16344
1351	6055	16339
